class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
,[ 0.49045974  0.15508732 -0.7971257   0.798581  ],[ 0.49430299  0.04144323 -0.82272089  0.87934083],[ 0.51069653  0.02638417 -0.82292902  0.89994657],[ 0.5256713   0.02919078 -0.82349432  0.8969636 ],[ 0.44803461  0.04758394 -0.80718434  0.86502904],[ 0.4360384   0.05164731 -0.80699909  0.83936459],[ 0.42373896  0.05307603 -0.80724031  0.81143934],[ 0.56409395  0.06467426 -0.76602018  0.95641828],[ 0.42353171  0.05425042 -0.67110497  0.89703065],[ 0.53201288  0.17501575 -0.75293636  0.98562998],[ 0.48162556  0.19411257 -0.72529024  0.97759056],[ 0.71236837  0.22083423 -0.64473772  0.99156195],[ 0.34978861  0.20829421 -0.56300998  0.97221988],[ 0.76455027  0.53520185 -0.68716967  0.90830106],[ 0.29785693  0.53191251 -0.5992434   0.91861171],[ 0.7185868   0.70346487 -0.8629812   0.59789568],[ 0.18818551  0.72306001 -0.73795056  0.81854618],[ 0.7323283   0.76209778 -0.91650659  0.60185677],[ 0.13149241  0.7631942  -0.77437955  0.79272217],[ 0.69902593  0.73511219 -0.9473359   0.66097581],[ 0.14587522  0.74491519 -0.82810766  0.83024353],[ 0.68191302  0.71938676 -0.87706816  0.69057876],[ 0.1825572   0.74335873 -0.76309222  0.84924221],[ 0.60781658  0.62778038 -0.02040725  0.96539539],[0.43169051 0.59900665 0.02085809 0.92765349],[ 0.74457169  0.71959549 -0.53770417  0.75766689],[ 0.31392866  0.67794871 -0.32820445  0.48545274],[ 0.43440303  0.75302804 -0.20133622  0.09439928],[ 0.53192127  0.81549144 -0.12063601  0.05903693],[ 0.40162307  0.70637244 -0.14960651  0.09846216],[ 0.56630522  0.80190057 -0.08240088  0.07546974],[ 0.31774384  0.8184517  -0.19521651  0.06423765],[ 0.58923912  0.89911842 -0.13559133  0.05297183]
,[ 0.48584861  0.15441124 -0.71406043  0.8184787 ],[ 0.49472389  0.06738181 -0.74120951  0.89120877],[ 0.51110101  0.06049507 -0.74122667  0.90979099],[ 0.52648073  0.05560743 -0.74154538  0.90707743],[ 0.45275658  0.07706896 -0.71536565  0.87833017],[ 0.43578833  0.05180809 -0.71538061  0.85522157],[ 0.42371339  0.05311681 -0.71577513  0.83007914],[ 0.56521904  0.05629601 -0.66750544  0.96069318],[ 0.42399663  0.05418161 -0.53212196  0.90720439],[ 0.52946126  0.17543955 -0.66555053  0.98705071],[ 0.48162714  0.18807229 -0.6261133   0.97981071],[ 0.71932739  0.22356667 -0.52700919  0.99234265],[ 0.35448021  0.21038452 -0.43245053  0.97494495],[ 0.76698524  0.56541079 -0.48262435  0.91301978],[ 0.30513877  0.51628238 -0.38702294  0.92274505],[ 0.70541954  0.71871054 -0.63394129  0.61030734],[ 0.19227228  0.71257961 -0.55979663  0.82788318],[ 0.70928252  0.79009718 -0.67422909  0.60712433],[ 0.1337451   0.7493431  -0.59736151  0.80173236],[ 0.68042105  0.75881034 -0.71081591  0.6643886 ],[ 0.14606291  0.74242949 -0.65901959  0.83729494],[ 0.6659376   0.73274493 -0.64723063  0.69585085],[ 0.18160531  0.74062908 -0.58920437  0.8555488 ],[ 0.61444455  0.67645782 -0.01602542  0.96694434],[0.43434277 0.6447773  0.01628315 0.93197024],[ 0.7551083   0.76946104 -0.57739252  0.75957805],[ 0.28510615  0.80884421 -0.45640773  0.51557827],[ 0.42806378  0.82158357 -0.30488449  0.09978084],[ 0.56515992  0.90530753 -0.25925517  0.06800132],[ 0.39929134  0.77714801 -0.2603339   0.1061805 ],[ 0.60183382  0.86191934 -0.22102281  0.08761532],[ 0.27805406  0.88440168 -0.30652013  0.06910261],[ 0.67869782  1.02121413 -0.27923501  0.05928072]
,[ 0.48589796  0.16092777 -0.68204957  0.83592099],[ 0.49889201  0.09081054 -0.70541072  0.90157914],[ 0.51498091  0.08474941 -0.70545727  0.91838157],[ 0.53071487  0.07771328 -0.70584196  0.9158293 ],[ 0.45261818  0.09154089 -0.68314528  0.89002186],[ 0.43609524  0.08344878 -0.68316019  0.86913818],[ 0.4244431   0.08109105 -0.68362939  0.84640765],[ 0.56702042  0.05572648 -0.61435634  0.96445286],[ 0.42451811  0.0643362  -0.49562606  0.91621643],[ 0.53525972  0.18967961 -0.62663156  0.9883213 ],[ 0.48190945  0.19314967 -0.59217936  0.9817993 ],[ 0.72421938  0.22431169 -0.4836359   0.99306744],[ 0.35646117  0.21158142 -0.39562646  0.97742707],[ 0.77127028  0.59045023 -0.5112766   0.91707826],[ 0.30900997  0.51127034 -0.40311438  0.9255088 ],[ 0.67307818  0.7395007  -0.74300987  0.6274631 ],[ 0.1923694   0.71203154 -0.63492     0.83537459],[ 0.66267622  0.81247509 -0.78572738  0.62184572],[ 0.13092965  0.74579304 -0.67527807  0.81140429],[ 0.63350022  0.76965481 -0.82113731  0.67584628],[ 0.14358136  0.7412703  -0.72807688  0.84485251],[ 0.62375712  0.74229366 -0.75685829  0.70644879],[ 0.18075183  0.74059826 -0.66428196  0.86226821],[ 0.63555777  0.69225913 -0.0065358   0.96868324],[0.44748741 0.67121261 0.00672701 0.93701494],[ 0.83329976  0.82390523 -0.64563888  0.76785052],[ 0.28802809  0.88921684 -0.48639026  0.54208457],[ 0.4722243   0.92157513 -0.3988494   0.09988669],[ 0.56914091  1.03943896 -0.29274639  0.06966665],[ 0.43954363  0.88172746 -0.35415953  0.11075632],[ 0.60761237  1.01297152 -0.25390822  0.09355584],[ 0.32339877  1.00054383 -0.38971072  0.06886495],[ 0.65733039  1.15301442 -0.30005509  0.05953519]
,[ 0.48214626  0.16061988 -0.65821755  0.85203218],[ 0.49190062  0.08267135 -0.68172926  0.91117752],[ 0.50798726  0.07582576 -0.68176925  0.92633986],[ 0.52580369  0.06798689 -0.68209857  0.92398471],[ 0.44785792  0.08505196 -0.65588522  0.90080595],[ 0.43354768  0.07959326 -0.65593153  0.88199633],[ 0.42284688  0.07822008 -0.65644741  0.86150253],[ 0.56640613  0.05002108 -0.59569931  0.96791017],[ 0.42434835  0.06452233 -0.46013933  0.92447466],[ 0.52986974  0.18919678 -0.60613811  0.98947054],[ 0.48006564  0.18986814 -0.56695545  0.98359811],[ 0.7277528   0.22615968 -0.46421033  0.99372232],[ 0.35680848  0.21280119 -0.36046684  0.97966653],[ 0.77327549  0.59166074 -0.44910401  0.91894478],[ 0.30958587  0.51113302 -0.32876134  0.92863983],[ 0.66436017  0.73846257 -0.67741823  0.64209783],[ 0.19514816  0.70791548 -0.54037935  0.84409136],[ 0.65439582  0.81183684 -0.73339611  0.63275033],[ 0.13098268  0.74455827 -0.57995021  0.8211987 ],[ 0.62584716  0.7670874  -0.7709012   0.68454081],[ 0.14360611  0.7411207  -0.65597814  0.85277504],[ 0.61719948  0.74059266 -0.69243318  0.71597958],[ 0.18103163  0.7387569  -0.57628596  0.86971408],[ 0.64145792  0.70319438 -0.00707343  0.96992201],[0.45197797 0.67741758 0.0072818  0.94116277],[ 0.82712412  0.83303893 -0.63385618  0.76445478],[ 0.26042894  0.85688186 -0.44176897  0.56411809],[ 0.49994045  0.9493351  -0.35990143  0.09666411],[ 0.50352168  1.0525974  -0.24413872  0.07043193],[ 0.46817765  0.9187156  -0.31511837  0.11332053],[ 0.54357159  1.03549027 -0.2074337   0.09844826],[ 0.38163614  1.04375362 -0.34962827  0.06774576],[ 0.5574097   1.19602036 -0.25324735  0.05942849]
,[ 0.4923099   0.18386984 -0.70848984  0.86657959],[ 0.49829292  0.10423343 -0.72356653  0.91978258],[ 0.51492083  0.09771586 -0.7233572   0.93344605],[ 0.53275985  0.08917069 -0.7234      0.93127912],[ 0.4571465   0.11456557 -0.69929159  0.91049725],[ 0.44319162  0.1094004  -0.69957763  0.89353645],[ 0.43101341  0.10349797 -0.70012164  0.87506968],[ 0.56787181  0.05540429 -0.64268166  0.97098774],[ 0.42647105  0.07504266 -0.52655923  0.9318912 ],[ 0.53554696  0.20912398 -0.62776887  0.99049741],[ 0.48534241  0.2064002  -0.58956856  0.98521519],[ 0.72857702  0.22991358 -0.48375458  0.99431634],[ 0.35668033  0.21664743 -0.41205725  0.98169124],[ 0.7748127   0.59207916 -0.44854316  0.91878355],[ 0.30933693  0.51207089 -0.39829788  0.93332428],[ 0.73086107  0.7398138  -0.69803345  0.64847219],[ 0.1998767   0.70834959 -0.60428178  0.85302758],[ 0.75305873  0.81536835 -0.75144279  0.63691992],[ 0.13499825  0.74603611 -0.6387127   0.83062881],[ 0.73561132  0.7777642  -0.8089627   0.68779588],[ 0.15141997  0.74113733 -0.68529713  0.86022496],[ 0.71317369  0.75308067 -0.72342592  0.72127074],[ 0.18569551  0.73537767 -0.6325742   0.87614912],[6.37295246e-01 7.11667597e-01 6.40665239e-04 9.69961524e-01],[ 4.50987756e-01  6.79633021e-01 -3.50359129e-04  9.44375038e-01],[ 0.81842124  0.86187363 -0.64606255  0.75791937],[ 0.24504714  0.87316424 -0.47438908  0.58611733],[ 0.50789165  1.00062799 -0.32909131  0.09523993],[ 0.43948632  1.10548413 -0.25924897  0.07586607],[ 0.47154111  0.97787875 -0.28295889  0.11864951],[ 0.4753406   1.10160422 -0.2269841   0.10709996],[ 0.41136384  1.11109149 -0.33234078  0.0670063 ],[ 0.4797712   1.2554996  -0.30963135  0.06123228]
,[ 0.49088922  0.1765285  -0.68105775  0.87972856],[ 0.49584651  0.09876589 -0.70676976  0.92764801],[ 0.5129782   0.08647909 -0.70673442  0.93996602],[ 0.53193438  0.08175395 -0.70711756  0.93798739],[ 0.45527259  0.10558227 -0.68260765  0.91931576],[ 0.44138408  0.10138156 -0.68261796  0.90403736],[ 0.42934126  0.09850039 -0.68297482  0.88740444],[ 0.56849539  0.05469356 -0.61148852  0.97382754],[ 0.42559892  0.07123714 -0.48439845  0.93862623],[ 0.5354861   0.20487431 -0.61662614  0.99143302],[ 0.48524517  0.20424254 -0.57924271  0.98668033],[ 0.72982752  0.22982004 -0.4564293   0.99485105],[ 0.35664621  0.2165201  -0.37781936  0.98351234],[ 0.77896273  0.59104455 -0.39025933  0.9174853 ],[ 0.30924925  0.51240492 -0.36936867  0.93595785],[ 0.73476303  0.74967927 -0.5978297   0.64824301],[ 0.19946165  0.70857865 -0.62678128  0.85985416],[ 0.75091267  0.82973635 -0.64567107  0.63707328],[ 0.13493179  0.75164664 -0.64509422  0.83906293],[ 0.72899336  0.79114109 -0.71094787  0.68766874],[ 0.15158042  0.74685878 -0.72193348  0.86700141],[ 0.70875442  0.76286006 -0.62432408  0.72321516],[ 0.18564032  0.73775327 -0.6488322   0.88207698],[0.63803279 0.70951241 0.00863426 0.97104234],[ 0.45009795  0.68307513 -0.00828057  0.9477576 ],[ 0.87339574  0.8363449  -0.62550962  0.76164508],[ 0.24848524  0.85967416 -0.49036098  0.60711765],[ 0.52488136  0.97705013 -0.38699803  0.09458236],[ 0.47179499  1.04085886 -0.2612313   0.07609113],[ 0.48351121  0.94919819 -0.34857497  0.12342434],[ 0.50786138  1.02537239 -0.22173998  0.11172491],[ 0.41507497  1.08168745 -0.39907461  0.06590498],[ 0.50765634  1.16074395 -0.27889255  0.06039616]
,[ 0.47907108  0.16585523 -0.73112917  0.89157587],[ 0.48714313  0.07020002 -0.75862932  0.93470103],[ 0.5038898   0.06358456 -0.75858033  0.94582027],[ 0.52585244  0.07555077 -0.75898331  0.94397688],[ 0.44727111  0.08568081 -0.72237003  0.92718405],[ 0.43430081  0.08220646 -0.72229928  0.91342628],[ 0.42318392  0.07828259 -0.72273552  0.89840198],[ 0.56687069  0.04771633 -0.64626098  0.97638673],[ 0.42469478  0.06050115 -0.51947194  0.94463497],[ 0.52463967  0.19307849 -0.66623384  0.9922778 ],[ 0.47764412  0.18030995 -0.60636127  0.98799402],[ 0.73035228  0.22978106 -0.49215645  0.99534547],[ 0.35602736  0.21673273 -0.40091005  0.98515099],[ 0.78055811  0.59294391 -0.45756263  0.92044282],[ 0.30796266  0.51625228 -0.35076886  0.93884432],[ 0.71418256  0.7560991  -0.66993272  0.6619513 ],[ 0.19913897  0.712735   -0.55213678  0.86558956],[ 0.71420509  0.83468151 -0.72737461  0.64874077],[ 0.13529174  0.76262635 -0.59383988  0.84510285],[ 0.68552649  0.79431808 -0.7737745   0.69680464],[ 0.15173505  0.7561866  -0.6755681   0.87129724],[ 0.67060208  0.76690286 -0.68882358  0.73185056],[ 0.18554859  0.74507415 -0.58960044  0.88588125],[0.63620716 0.72032028 0.00669141 0.97114855],[ 0.44561547  0.69474405 -0.0063149   0.94895864],[ 0.84326923  0.82729518 -0.66693497  0.76102006],[ 0.24779697  0.91040045 -0.46157226  0.62584746],[ 0.59553039  1.10262167 -0.3617059   0.1074577 ],[ 0.37337029  1.13939631 -0.12699507  0.08383933],[ 0.54814422  1.11964762 -0.30983955  0.15367527],[ 0.41027123  1.16060328 -0.08725725  0.13081862],[ 0.58977282  1.29306424 -0.38222823  0.07405033],[ 0.34155598  1.30186772 -0.18910244  0.06259696]
,[ 0.48679662  0.18023233 -0.6831333   0.90217984],[ 0.50299609  0.10389967 -0.71243685  0.94105494],[ 0.52009058  0.09804866 -0.71238601  0.95109475],[ 0.53909528  0.09583042 -0.71286446  0.94940346],[ 0.45444208  0.11260344 -0.68887579  0.93430841],[ 0.44075233  0.10756873 -0.68878686  0.92190057],[ 0.42803884  0.09998628 -0.68919301  0.90835178],[ 0.56949484  0.05359552 -0.59842241  0.97869104],[ 0.42514402  0.06646962 -0.48371863  0.95007604],[ 0.53251398  0.20443517 -0.61332071  0.99303788],[ 0.48022524  0.19571146 -0.57659721  0.98918045],[ 0.73095787  0.22978507 -0.44145527  0.99578124],[ 0.35598591  0.21676306 -0.36657208  0.98662269],[ 0.78166401  0.59620494 -0.40083289  0.91867739],[ 0.30736619  0.52335232 -0.35549885  0.93925983],[ 0.69752634  0.75839055 -0.62468016  0.66205859],[ 0.19894359  0.7162115  -0.58809561  0.86775696],[ 0.69180787  0.84021777 -0.67351598  0.64887798],[ 0.13533011  0.76920336 -0.60931838  0.8491897 ],[ 0.6609199   0.79419136 -0.71699333  0.69637805],[ 0.15153383  0.7602815  -0.6764366   0.8743673 ],[ 0.6485427   0.76568425 -0.63997662  0.73264104],[ 0.18463792  0.74737751 -0.61961281  0.88864529],[0.63588536 0.72441572 0.01115557 0.97169513],[ 0.44236487  0.70535308 -0.01082878  0.95098138],[ 0.89960498  0.8252337  -0.6434325   0.7669434 ],[ 0.23443389  0.90340543 -0.49873537  0.64666581],[ 0.55009878  1.0069989  -0.4635191   0.10753052],[ 0.47448498  1.06913817 -0.26567775  0.08401273],[ 0.51229399  0.99075431 -0.42651278  0.15648055],[ 0.51526368  1.06425536 -0.22133765  0.13510016],[ 0.51681578  1.13295662 -0.47310609  0.07297061],[ 0.562796    1.19892895 -0.25960383  0.06184944]
,[ 0.48696867  0.17863266 -0.60120177  0.91161931],[ 0.50259709  0.09874959 -0.62914121  0.94668692],[ 0.51951748  0.09205203 -0.62918198  0.95578688],[ 0.5380677   0.08889398 -0.62969828  0.95418942],[ 0.45474893  0.10531321 -0.60522479  0.94061941],[ 0.44110742  0.10126526 -0.60511756  0.92943347],[ 0.42834204  0.09537572 -0.6056549   0.91719788],[ 0.56945866  0.05342349 -0.52303445  0.98074341],[ 0.42515978  0.06609387 -0.3958559   0.95494866],[ 0.53241724  0.19653788 -0.53575361  0.99372047],[ 0.48006496  0.19154845 -0.4990963   0.99024504],[ 0.73092479  0.22976862 -0.37544852  0.996162  ],[ 0.35571259  0.21624418 -0.29436761  0.9879474 ],[ 0.78002799  0.60653573 -0.35482696  0.91384029],[ 0.30717105  0.52609038 -0.26716328  0.93948042],[ 0.65254974  0.7549395  -0.60147047  0.65553927],[ 0.19879392  0.71254027 -0.52329063  0.87065971],[ 0.6343624   0.83465302 -0.65663171  0.64239621],[ 0.13530175  0.76391006 -0.56886053  0.85400796],[ 0.60343111  0.79236352 -0.68529898  0.68863142],[ 0.14996476  0.75591004 -0.64365393  0.87805623],[ 0.59718931  0.7588526  -0.61110151  0.72642916],[ 0.18147171  0.74283028 -0.55992693  0.89218152],[0.63597637 0.73223722 0.01159235 0.97165227],[ 0.44114724  0.71540427 -0.01123798  0.95248842],[ 0.88007528  0.82003278 -0.65213591  0.7736792 ],[ 0.23564944  0.91881639 -0.53326088  0.66507745],[ 0.54704666  1.02591634 -0.4599638   0.11115475],[ 0.53598845  1.07476068 -0.31702349  0.08714589],[ 0.50708532  1.01300418 -0.4219293   0.16751151],[ 0.57927018  1.0536809  -0.27297458  0.14428502],[ 0.46372637  1.15631878 -0.48930359  0.07408219],[ 0.62893021  1.19780409 -0.32610992  0.06289851]
,[ 0.47561756  0.13938668 -0.57270437  0.92018801],[ 0.48759302  0.05602862 -0.61140311  0.95186359],[ 0.50369328  0.05130328 -0.61136025  0.96008182],[ 0.52181906  0.04760511 -0.61190945  0.95862228],[ 0.44542456  0.07778438 -0.5769639   0.94641149],[ 0.43206835  0.07696339 -0.5768345   0.93632525],[ 0.42012405  0.07395392 -0.57727462  0.92531657],[ 0.56452847  0.04295618 -0.54962003  0.98262292],[ 0.42224878  0.05400195 -0.37686858  0.95938301],[ 0.52024579  0.18365222 -0.52434242  0.9943372 ],[ 0.47047535  0.16553774 -0.47391161  0.9912079 ],[ 0.73075175  0.22836664 -0.40835291  0.99647778],[ 0.35518557  0.21526399 -0.27397761  0.98913628],[ 0.77736026  0.61096507 -0.3278788   0.90386277],[ 0.30643809  0.52618289 -0.26991403  0.93651319],[ 0.65340102  0.76655364 -0.47706431  0.62552744],[ 0.19946495  0.70835382 -0.5646975   0.86702847],[ 0.64239633  0.85164171 -0.51515973  0.6172924 ],[ 0.13573769  0.75918776 -0.60543692  0.8530193 ],[ 0.6132682   0.80223811 -0.55412024  0.66344947],[ 0.15035668  0.74885368 -0.68114132  0.87663305],[ 0.6038748   0.76707977 -0.48794836  0.70232195],[ 0.18321325  0.73578972 -0.59863555  0.89064938],[0.63986164 0.73116988 0.01043845 0.97050655],[ 0.44111294  0.71600169 -0.01008705  0.9537881 ],[ 0.93719041  0.82352775 -0.66818792  0.78147513],[ 0.241749    0.90295309 -0.56661981  0.68378818],[ 0.53534019  0.9986307  -0.50810826  0.11247705],[ 0.59373707  1.06075227 -0.39968187  0.08997117],[ 0.49546647  0.97480255 -0.47063288  0.17017642],[ 0.6325444   1.03456235 -0.35665983  0.15435374],[ 0.40139729  1.11339843 -0.52749342  0.07250095],[ 0.70913285  1.17685282 -0.40359002  0.06318913]
